period,train_start,train_end,test_start,test_end,train_accuracy,test_accuracy,accuracy_drop,test_return,buy_hold_return,excess_return,max_drawdown,sharpe_ratio,num_trades,win_rate
56,1985-09-17,1986-09-16,1986-09-17,1986-12-15,1.0,0.5238095238095238,0.47619047619047616,22.77125781031375,21.89764756619965,0.8736102441140972,-1.8381643723663565,4.668941209662826,10,100.0
57,1985-10-17,1986-10-15,1986-10-16,1987-01-15,1.0,0.47619047619047616,0.5238095238095238,3.4225837434656903,48.32661569215049,-44.9040319486848,-1.1406211402431836,1.864071856073417,2,100.0
58,1985-11-15,1986-11-13,1986-11-14,1987-02-13,1.0,0.42857142857142855,0.5714285714285714,0.0,76.2413563428606,-76.2413563428606,0.0,0.0,0,0.0
59,1985-12-17,1986-12-15,1986-12-16,1987-03-17,1.0,0.5555555555555556,0.4444444444444444,78.32726532262895,57.647083721150864,20.680181601478083,-7.299469580770214,5.198433028264306,9,100.0
60,1986-01-17,1987-01-15,1987-01-16,1987-04-15,1.0,0.5555555555555556,0.4444444444444444,25.957445482333807,45.64078028410312,-19.683334801769316,-5.923509699723535,3.0504204628535962,3,100.0
61,1986-02-18,1987-02-13,1987-02-17,1987-05-15,1.0,0.49206349206349204,0.5079365079365079,18.07010098395583,18.07010098395583,0.0,-10.714229849321022,1.7891371389568007,1,0.0
62,1986-03-19,1987-03-17,1987-03-18,1987-06-16,1.0,0.5238095238095238,0.47619047619047616,17.542456520463556,25.94901175112392,-8.406555230660363,-3.846235090808805,3.069481273744388,4,100.0
63,1986-04-18,1987-04-15,1987-04-16,1987-07-16,1.0,0.49206349206349204,0.5079365079365079,19.48053445733695,23.264403451108606,-3.783868993771655,-11.309637681548638,2.194537161437709,3,100.0
64,1986-05-19,1987-05-15,1987-05-18,1987-08-14,1.0,0.6031746031746031,0.39682539682539686,27.29251741545402,29.54011199436617,-2.2475945789121496,-8.588950915504737,3.24222030390621,6,100.0
65,1986-06-18,1987-06-16,1987-06-17,1987-09-15,1.0,0.6031746031746031,0.39682539682539686,9.467394253200023,27.943157917739914,-18.47576366453989,0.0,2.572045030602696,2,100.0
66,1986-07-18,1987-07-16,1987-07-17,1987-10-14,1.0,0.6031746031746031,0.39682539682539686,0.0,23.280419299829468,-23.280419299829468,0.0,0.0,0,0.0
67,1986-08-18,1987-08-14,1987-08-17,1987-11-12,1.0,0.3968253968253968,0.6031746031746033,-21.717165528016892,-21.717165528016903,1.0658141036401503e-14,-52.74263072111464,-0.4775953562884804,1,0.0
68,1986-09-17,1987-09-15,1987-09-16,1987-12-14,1.0,0.47619047619047616,0.5238095238095238,-22.629721082487187,-27.862484306520898,5.232763224033711,-41.96898617647668,-0.5204533420208053,1,0.0
69,1986-10-16,1987-10-14,1987-10-15,1988-01-14,1.0,0.49206349206349204,0.5079365079365079,-13.88991688338621,-18.572870433148815,4.682953549762605,-41.96898617647668,-0.07366868702084314,3,0.0
70,1986-11-14,1987-11-12,1987-11-13,1988-02-12,1.0,0.5873015873015873,0.4126984126984127,19.76585467775074,10.5246181565666,9.241236521184138,-17.567693101548056,1.8778791064185474,5,100.0
