train_start,train_end,test_start,test_end,accuracy,cumulative_return,trades,correct_predictions
2019-03-21,2021-03-15,2021-03-16,2021-08-05,0.53,0.07493210130233381,100,53
2019-08-13,2021-08-05,2021-08-06,2021-12-28,0.45,-0.015138561180205524,100,45
2020-01-06,2021-12-28,2021-12-29,2022-05-20,0.46,0.07667411625347992,100,46
2020-05-29,2022-05-20,2022-05-23,2022-10-13,0.53,0.1252971446980397,100,53
2020-10-20,2022-10-13,2022-10-14,2023-03-09,0.48,-0.21326482481280198,100,48
2021-03-16,2023-03-09,2023-03-10,2023-08-02,0.46,0.09181169987106555,100,46
2021-08-06,2023-08-02,2023-08-03,2023-12-22,0.48,-0.012705547515233472,100,48
2021-12-29,2023-12-22,2023-12-26,2024-05-17,0.51,-0.03769365414600483,100,51
2022-05-23,2024-05-17,2024-05-20,2024-10-10,0.39,-0.0042203419256953145,100,39
2022-10-14,2024-10-10,2024-10-11,2025-03-07,0.46,0.01305699500671648,100,46
